company_id,query,status
alphabet,"Alphabet (Google) compensation performance management total rewards interview bonus pool",pending
apple,"Apple compensation performance management total rewards interview bonus pool",pending
nvidia,"NVIDIA compensation performance management total rewards interview bonus pool",pending
micron,"Micron Technology compensation performance management total rewards interview bonus pool",pending
intel,"Intel compensation performance management total rewards interview bonus pool",pending
qualcomm,"Qualcomm compensation performance management total rewards interview bonus pool",pending
microsoft,"Microsoft compensation performance management total rewards interview bonus pool",pending
ibm,"IBM compensation performance management total rewards interview bonus pool",pending
broadcom,"Broadcom compensation performance management total rewards interview bonus pool",pending
whirlpool,"Whirlpool compensation performance management total rewards interview bonus pool",pending
tsmc,"TSMC compensation performance management total rewards interview bonus pool",pending
sony,"Sony Group compensation performance management total rewards interview bonus pool",pending
lonza,"Lonza Group compensation performance management total rewards interview bonus pool",pending
sk_hynix,"SK하이닉스 compensation performance management total rewards interview bonus pool",pending
hanwha,"㈜한화 compensation performance management total rewards interview bonus pool",pending
